LDA n components:,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Silhouette Score,Davies-Bouldin Index,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI)
23,0.9115942028985508,0.9118787991898358,0.9115215567243379,0.9115332024583982,0.24625420378104845,1.5235990688056913,0.6778084963521591,0.5718353709317361
24,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.23865273294338712,1.5633869188218943,0.6763159019759695,0.5703886085283734
25,0.9115942028985508,0.9118787991898358,0.9115215567243379,0.9115332024583982,0.2319181548914667,1.6013362411987493,0.6778084963521591,0.571835370931736
26,0.9115942028985508,0.9118787991898358,0.9115215567243379,0.9115332024583982,0.22552807642651623,1.637810905666163,0.6778084963521591,0.571835370931736
27,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.21990773441567762,1.6714486463424918,0.6763159019759695,0.5703886085283733
28,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.21405694917543264,1.7069268544796121,0.6763159019759695,0.5703886085283734
29,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.2085326438390406,1.7423075748920602,0.6763159019759695,0.5703886085283733
30,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.20296430558081555,1.7797211750306765,0.6763159019759695,0.5703886085283733
31,0.9115942028985508,0.9118787991898358,0.9115215567243379,0.9115332024583982,0.19817837364101276,1.8133243788527564,0.6778084963521591,0.5718353709317361
32,0.9115942028985508,0.9118787991898358,0.9115215567243379,0.9115332024583982,0.19345253243857985,1.8477574802382157,0.6778084963521591,0.5718353709317361
33,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.18904871672295695,1.8800412327768616,0.6763159019759695,0.5703886085283734
34,0.9115942028985508,0.9118787991898358,0.9115215567243379,0.9115332024583982,0.18453496623804433,1.9150902340429519,0.6778084963521591,0.5718353709317362
35,0.9115942028985508,0.9118787991898358,0.9115215567243379,0.9115332024583982,0.18060618942084142,1.9461800133126754,0.6778084963521591,0.5718353709317361
36,0.9120772946859903,0.9123675518719032,0.9120166062292882,0.9120174588641301,0.176422980230887,1.9794148808075485,0.6794788482398225,0.5737340643975771
37,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.1726791070085008,2.011408149467229,0.6763159019759695,0.5703886085283734
38,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.1693404309188133,2.040368682122345,0.6763159019759695,0.5703886085283733
39,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.16559274827358883,2.074172468672425,0.6763159019759695,0.5703886085283733
40,0.9120772946859903,0.9123585529629891,0.9119954903736268,0.912015434260853,0.16187538334330273,2.1093689215143634,0.679460148047639,0.5735511542376541
41,0.9115942028985508,0.9118787991898358,0.9115215567243379,0.9115332024583982,0.1584221030870496,2.143508923809064,0.6778084963521591,0.571835370931736
42,0.9120772946859903,0.9123585529629891,0.9119954903736268,0.912015434260853,0.1550590799034102,2.176068405236364,0.679460148047639,0.5735511542376541
43,0.9111111111111112,0.911385307137025,0.9110407874935685,0.911051258110381,0.15228229769600393,2.2043378412830514,0.6763159019759695,0.5703886085283733
44,0.9115942028985508,0.9118650609101785,0.9115147211428576,0.9115334899128358,0.14911844644567185,2.2360365672900597,0.6779675536714492,0.5721043918342914
45,0.9120772946859903,0.9123585529629891,0.9119954903736268,0.912015434260853,0.14656849214387577,2.264599400148151,0.679460148047639,0.5735511542376541
46,0.9120772946859903,0.9123585529629891,0.9119954903736268,0.912015434260853,0.1437953602875927,2.2958783830073495,0.679460148047639,0.5735511542376542
47,0.9120772946859903,0.9123585529629891,0.9119954903736268,0.912015434260853,0.14094375595577793,2.3273899400244344,0.679460148047639,0.5735511542376541
48,0.9120772946859903,0.9123585529629891,0.9119954903736268,0.912015434260853,0.13835522760893137,2.357010877779562,0.679460148047639,0.5735511542376542
49,0.9115942028985508,0.9118650609101785,0.9115147211428576,0.9115334899128358,0.13595683718510762,2.3842005335024767,0.6779675536714492,0.5721043918342914
